index,movieId,title
0,1,Toy Story
1,2,Jumanji
2,3,Grumpier Old Men
3,4,Waiting to Exhale
4,5,Father of the Bride Part II
5,6,Heat
6,7,Sabrina
7,8,Tom and Huck
8,9,Sudden Death
9,10,GoldenEye
10,11,The American President
11,12,Dracula: Dead and Loving It
12,13,Balto
13,14,Nixon
14,15,Cutthroat Island
15,16,Casino
16,17,Sense and Sensibility
17,18,Four Rooms
18,19,Ace Ventura: When Nature Calls
19,20,Money Train
20,21,Get Shorty
21,22,Copycat
22,23,Assassins
23,24,Powder
24,25,Leaving Las Vegas
25,26,Othello
26,27,Now and Then
27,29,The City of Lost Children
28,30,Shanghai Triad
29,31,Dangerous Minds
30,32,Twelve Monkeys
31,34,Babe
32,35,Carrington
33,36,Dead Man Walking
34,38,It Takes Two
35,39,Clueless
36,40,"Cry, the Beloved Country"
37,41,Richard III
38,42,Dead Presidents
39,43,Restoration
40,44,Mortal Kombat
41,45,To Die For
42,46,How To Make An American Quilt
43,47,Se7en
44,48,Pocahontas
45,49,When Night Is Falling
46,50,The Usual Suspects
47,52,Mighty Aphrodite
48,53,Lamerica
49,54,The Big Green
50,55,Georgia
51,57,Home for the Holidays
52,58,The Postman
53,59,The Confessional
54,60,The Indian in the Cupboard
55,61,Eye for an Eye
56,62,Mr. Holland's Opus
57,63,Don't Be a Menace to South Central While Drinking Your Juice in the Hood
58,64,Two If by Sea
59,65,Bio-Dome
60,66,Lawnmower Man 2: Beyond Cyberspace
61,67,Two Bits
62,68,French Twist
63,69,Friday
64,70,From Dusk Till Dawn
65,71,Fair Game
66,72,Kicking and Screaming
67,73,Les Miserables
68,74,Bed of Roses
69,75,Big Bully
70,76,Screamers
71,77,Nico Icon
72,78,The Crossing Guard
73,79,The Juror
74,80,The White Balloon
75,81,Things to Do in Denver When You're Dead
76,82,Antonia's Line
77,83,Once Upon a Time... When We Were Colored
78,84,Last Summer in the Hamptons
79,85,Angels and Insects
80,86,White Squall
81,87,Dunston Checks In
82,88,Black Sheep
83,89,Nick of Time
84,90,The Journey of August King
85,92,Mary Reilly
86,93,Vampire in Brooklyn
87,94,Beautiful Girls
88,95,Broken Arrow
89,96,A Midwinter's Tale
