movieId,country,certification
1,GB,PG
1,KR,ALL
1,FI,K-7
1,SE,7
1,NL,AL
1,NO,6
1,ES,APTA
1,AU,G
1,PT,M/6
1,FR,U
1,BR,L
1,MX,AA
1,ZA,PG
1,DE,0
1,DK,7
1,US,G
2,US,PG
2,BR,L
2,SE,11
2,DE,12
2,FR,U
2,DK,11
2,RU,0+
2,ES,7
2,KR,12세 이상 관람가
2,PT,M/6
2,MX,A
2,GB,PG
2,HU,12
2,IT,T
2,AU,PG
3,DE,6
3,GB,12
3,US,PG-13
4,US,R
4,NL,AL
4,PT,M/12
4,AU,M
4,DE,12
5,GR,PG
5,GB,PG
5,PT,M/6
5,US,PG
5,MX,A
5,DE,0
5,NL,AL
6,NO,15
6,HU,18
6,GB,15
6,BR,14
6,US,R
6,FI,K-16
6,DE,16
6,IT,T
6,NL,12
6,CZ,15
6,GR,16
6,DK,15
6,AU,MA15+
6,ES,12
7,ES,APTA
7,US,PG
7,PT,M/12
7,NL,6
7,FR,U
7,DE,12
8,BR,12
8,DE,6
8,US,PG
9,DE,16
9,HU,16
9,GB,15
9,US,R
9,AU,MA15+
9,FR,12
9,RU,16+
10,BR,14
10,AU,PG
10,MX,B
10,ES,16
10,PT,M/12
10,SE,15
10,CZ,12
10,DE,16
10,US,PG-13
10,GB,12
10,NL,12
10,DK,7
10,CA,PG
10,FR,U
10,HU,12
11,DE,6
11,ES,APTA
11,FR,U
11,GB,15
11,GR,13
11,NL,AL
11,PT,M/12
11,US,PG-13
11,AU,M
12,HU,12
12,PT,M/12
12,US,PG-13
12,ES,13
12,DE,12
12,AU,PG
12,SE,11
13,US,G
13,FR,U
13,IE,G
13,DE,6
13,ES,APTA
13,NL,6
13,DK,A
14,ES,12
14,NO,15
14,GB,15
14,US,R
14,PT,M/12
14,DE,12
15,PT,M/6
15,DK,15
15,AU,PG
15,DE,12
15,IT,T
15,US,PG-13
16,GB,18
16,PT,M/16
16,JP,R18+
16,FI,K-18
16,NZ,18
16,AR,18
16,PE,18
16,IT,VM18
16,AU,R18+
16,NO,18
16,US,R
16,BR,18
16,DE,16
16,FR,12
16,NL,16
16,SE,15
16,GR,16
16,SG,M18 
16,DK,15
16,ES,18
16,HK,III 
16,KR,18
16,IE,18
17,US,PG
17,PT,M/12
17,GR,13
17,DE,6
17,ES,APTA
17,AU,G
17,IE,G
17,BR,L
17,GB,U
17,SE,Btl
18,US,R
18,GB,18
18,NL,12
18,DE,16
18,AU,MA15+
19,AU,PG
19,DE,12
19,ES,12
19,US,PG-13
19,GB,PG
19,GR,13
19,NL,6
19,SE,11
19,PT,M/12
20,US,R
20,BR,14
20,DE,16
20,NL,16
20,SE,15
20,ES,18
20,HU,18
20,GB,18
20,PT,M/12
20,PH,R-18
20,FI,K-16
20,AU,MA15+
21,AU,MA15+
21,FR,U
21,HU,16
21,BE,12
21,US,R
21,GB,15
21,GR,13
21,DE,12
22,GB,18
22,IE,18
22,FR,12
22,HU,18
22,DE,16
22,ES,18
22,US,R
22,NL,16
23,GB,15
23,HU,16
23,US,R
23,BR,16
23,DE,16
23,ES,18
23,AU,M
23,FR,U
23,NL,12
23,IE,18
23,IT,VM14
24,US,PG-13
24,GR,13
24,BR,14
24,NL,6
24,DE,12
24,AU,M
25,DE,16
25,ES,18
25,AU,R18+
25,PT,M/18
25,US,R
25,GR,16
25,NL,16
25,GB,18
25,IE,18
26,DE,12
27,AU,PG
27,US,PG-13
28,US,PG
28,GB,U
29,GB,15
30,FR,U
30,AR,16
30,KR,18
30,US,R
30,GB,15
