movieId,region,platforms
1,AR,Disney Plus
1,AT,Disney Plus|UPC TV
1,AU,Disney Plus
1,BE,Disney Plus
1,BO,Disney Plus
1,BR,Disney Plus
1,CA,Disney Plus
1,CH,Disney Plus|UPC TV
1,CL,Disney Plus
1,CO,Disney Plus|Claro video
1,CR,Disney Plus
1,DE,Disney Plus
1,DK,Disney Plus
1,EC,Disney Plus
1,ES,Disney Plus
1,FI,Disney Plus
1,FR,Disney Plus
1,GB,Disney Plus|Virgin TV Go
1,GT,Disney Plus
1,HK,Disney Plus
1,HN,Disney Plus
1,ID,Hotstar
1,IE,Disney Plus
1,IN,Hotstar
1,IT,Disney Plus
1,JP,Disney Plus|Disney Plus
1,KR,Disney Plus
1,MX,Disney Plus
1,MY,Hotstar
1,NL,Disney Plus
1,NO,Disney Plus|Strim
1,NZ,Disney Plus
1,PE,Disney Plus
1,PL,Horizon|Player
1,PT,Disney Plus
1,PY,Disney Plus
1,RU,Wink|Kinopoisk
1,SE,Disney Plus
1,SG,Disney Plus
1,TH,Hotstar
1,TW,Disney Plus
1,US,Disney Plus
1,VE,Disney Plus
2,AR,Netflix
2,AT,Sky Ticket|Sky Go|Sky X|UPC TV
2,AU,Amazon Prime Video|BINGE|Foxtel Now
2,BE,Netflix
2,BG,Netflix
2,BO,Netflix
2,BR,Netflix
2,CA,Netflix|Amazon Prime Video|Club Illico
2,CH,SwissCom|Sky|UPC TV
2,CL,Netflix|Movistar Play
2,CO,Netflix
2,CR,Netflix
2,CZ,Netflix
2,DE,Sky Ticket|Sky Go|EntertainTV
2,DK,Netflix
2,EC,Netflix|Movistar Play
2,ES,Netflix
2,FI,Netflix
2,FR,Netflix
2,GB,Netflix|Amazon Prime Video|Sky Go|Now TV Cinema|Virgin TV Go
2,GR,Netflix
2,GT,Netflix
2,HN,Netflix
2,IE,Netflix|Amazon Prime Video|Sky Go|Now TV Cinema
2,IN,Netflix
2,IT,Timvision
2,JP,Netflix
2,KR,Netflix
2,MX,Netflix
2,NL,Netflix|KPN
2,NO,Netflix|Strim
2,NZ,Netflix
2,PE,Netflix
2,PL,Netflix
2,PT,Netflix
2,PY,Netflix
2,RU,Netflix|More TV|Kinopoisk
2,SE,Netflix
2,US,Netflix
2,VE,Netflix
2,ZA,Netflix
3,AR,Amazon Prime Video|Movistar Play
3,AT,Sky Ticket|Sky Go|Sky X
3,BO,Amazon Prime Video
3,BR,NOW
3,CH,SwissCom|Sky
3,CL,Amazon Prime Video|Movistar Play
3,CO,Amazon Prime Video|Movistar Play
3,CR,Amazon Prime Video
3,DE,Sky Ticket|Sky Go
3,EC,Amazon Prime Video|Movistar Play
3,GT,Amazon Prime Video
3,HN,Amazon Prime Video
3,MX,Amazon Prime Video
3,NO,Strim
3,PE,Amazon Prime Video
3,PL,Horizon
3,PY,Amazon Prime Video
3,RO,Horizon
3,VE,Amazon Prime Video
4,AR,Star Plus
4,AT,Disney Plus|Maxdome|UPC TV
4,AU,Disney Plus
4,BO,Star Plus
4,BR,Star Plus|Telecine Play|Oi Play
4,CA,Disney Plus
4,CH,Disney Plus|UPC TV
4,CL,Star Plus
4,CO,Star Plus
4,CR,Star Plus
4,DE,Disney Plus
4,DK,Disney Plus
4,EC,Star Plus
4,ES,Disney Plus
4,FI,Disney Plus
4,FR,Disney Plus
4,GB,Disney Plus
4,GT,Star Plus
4,HK,Disney Plus
4,HN,Star Plus
4,IE,Disney Plus
4,IT,Disney Plus
4,JP,Disney Plus|dTV
4,MX,Star Plus
4,NO,Disney Plus|Strim
4,NZ,Disney Plus
4,PE,Star Plus
4,PY,Star Plus
4,SE,Disney Plus
4,SG,Disney Plus
4,US,fuboTV|HBO Max|HBO Now|Max Go|DIRECTV|Spectrum On Demand
4,VE,Star Plus
5,AT,Disney Plus|UPC TV
5,AU,Disney Plus
5,BE,Disney Plus
5,CA,Disney Plus
5,CH,Disney Plus|UPC TV
5,DE,Disney Plus
5,DK,Disney Plus
5,ES,Disney Plus
5,FI,Disney Plus
5,FR,Disney Plus
5,GB,Disney Plus
5,HK,Disney Plus
5,IE,Disney Plus
5,IN,Hotstar
5,IT,Disney Plus
5,KR,Disney Plus
5,NL,Disney Plus
5,NO,Disney Plus
5,NZ,Disney Plus
5,PT,Disney Plus
5,RU,Ivi
5,SE,Disney Plus
5,SG,Disney Plus
5,TW,Disney Plus
6,AR,Netflix|Amazon Prime Video|Star Plus|Mubi|Movistar Play
6,AT,Amazon Prime Video|UPC TV
6,AU,Netflix|Amazon Prime Video
6,BE,Amazon Prime Video
6,BG,Netflix|Amazon Prime Video
6,BO,Netflix|Amazon Prime Video|Mubi|Star Plus
6,BR,Amazon Prime Video|Mubi|Globo Play
6,CA,Netflix|Amazon Prime Video
6,CH,Amazon Prime Video|UPC TV
6,CL,Netflix|Amazon Prime Video|Star Plus|Mubi|Movistar Play
6,CO,Netflix|Amazon Prime Video|Mubi|Star Plus|Movistar Play
6,CR,Netflix|Amazon Prime Video|Mubi|Star Plus
6,CZ,Amazon Prime Video
6,DE,Amazon Prime Video|Joyn Plus
6,DK,Netflix|Amazon Prime Video
6,EC,Netflix|Amazon Prime Video|Mubi|Star Plus|Movistar Play
6,EE,Netflix|Amazon Prime Video
6,ES,Netflix|Amazon Prime Video
6,FI,Netflix|Amazon Prime Video
6,FR,Netflix|Amazon Prime Video
6,GB,Netflix|Amazon Prime Video|Now TV Cinema|Virgin TV Go
6,GR,Netflix|Amazon Prime Video
6,GT,Netflix|Amazon Prime Video|Mubi|Star Plus
6,HK,Netflix|Amazon Prime Video
6,HN,Netflix|Amazon Prime Video|Star Plus|Mubi
6,HU,Amazon Prime Video
6,ID,Amazon Prime Video
6,IE,Netflix|Amazon Prime Video|Now TV Cinema
6,IN,Netflix|Amazon Prime Video|Mubi
6,IT,Netflix|Amazon Prime Video
6,JP,Netflix|Amazon Prime Video
6,KR,Amazon Prime Video
6,LT,Netflix|Amazon Prime Video|Telia Play
6,LV,Netflix|Amazon Prime Video
6,MX,Netflix|Amazon Prime Video|Mubi|Star Plus|Fox Premium
6,MY,Amazon Prime Video|Mubi
6,NL,Netflix|Amazon Prime Video
6,NO,Netflix|Amazon Prime Video|SumoTV|Strim
6,NZ,Netflix|Amazon Prime Video
6,PE,Netflix|Amazon Prime Video|Mubi|Star Plus
6,PH,Netflix|Amazon Prime Video
6,PL,Netflix|Amazon Prime Video|Horizon
6,PT,Netflix|Amazon Prime Video
6,PY,Netflix|Amazon Prime Video|Mubi|Star Plus
6,RO,Netflix|Horizon|Amazon Prime Video
6,RU,Amazon Prime Video
6,SE,Netflix|Amazon Prime Video
6,SG,Netflix
6,TH,Netflix|Amazon Prime Video
6,TR,Amazon Prime Video|blutv
6,TW,Netflix|Amazon Prime Video
6,US,Starz Play Amazon Channel|Starz Roku Premium Channel|Starz|DIRECTV|Spectrum On Demand
6,VE,Netflix|Amazon Prime Video|Mubi|Star Plus
6,ZA,Netflix|Amazon Prime Video
7,AU,Paramount Plus
7,CH,SwissCom
7,ES,Rakuten TV
7,GB,Netflix
7,IE,Netflix
7,KR,wavve
7,US,Hulu|Paramount Plus|Paramount+ Amazon Channel|EPIX Amazon Channel|Epix Roku Premium Channel|CBS|DIRECTV|Epix
8,AR,Disney Plus
8,AT,Disney Plus
8,AU,Disney Plus
8,BE,Disney Plus
8,BO,Disney Plus
8,BR,Disney Plus
8,CA,Disney Plus
8,CH,Disney Plus
8,CL,Disney Plus
8,CO,Disney Plus
8,CR,Disney Plus
8,DE,Disney Plus
8,DK,Disney Plus
8,EC,Disney Plus
8,ES,Disney Plus
8,FI,Disney Plus
8,FR,Disney Plus
8,GB,Disney Plus
8,GT,Disney Plus
8,HN,Disney Plus
8,IE,Disney Plus
8,IT,Disney Plus
8,JP,Disney Plus
8,MX,Disney Plus
8,NL,Disney Plus
8,NO,Disney Plus
8,NZ,Disney Plus
8,PE,Disney Plus
8,PL,Player
8,PT,Disney Plus
8,PY,Disney Plus
8,SE,Disney Plus
8,SG,Disney Plus
8,US,Disney Plus
8,VE,Disney Plus
9,BR,Netflix|Telecine Play|Oi Play
9,ID,HBO Go
9,IT,Sky Go|Now TV
9,MY,HBO Go
9,NZ,Neon TV
9,PH,HBO Go
9,SG,HBO Go
9,TH,HBO Go
10,AT,UPC TV
10,BG,HBO Go
10,BR,Telecine Play|Oldflix|NOW
10,CA,Crave|Crave Plus
10,CH,UPC TV
10,CZ,HBO Go
10,DK,Viaplay
10,EE,Viaplay
10,FI,Viaplay|Ruutu
10,FR,SALTO
10,GB,Virgin TV Go
10,HU,Horizon|HBO Go
10,JP,Amazon Prime Video
10,KR,wavve
10,LT,Viaplay
10,LV,Viaplay
10,NL,KPN
10,NO,Viaplay|Strim
10,PL,Horizon|HBO Go|Player
10,RO,Horizon|HBO Go
10,SE,Viaplay
10,US,Amazon Prime Video
